"campaign_id","company","campaign_type","target_audience","duration","channel_used","conversion_rate","acquisition_cost","roi","location","language","clicks","impressions","engagement_score","customer_segment","date","aqc_cost","duration_num"
145,"TechCorp","Social Media","Men 18-24","30 days","Email","0.12","$7,484.00","5.86","Houston","English",208,8730,2,"Outdoor Adventurers","2021-05-25","7484.00",30
146,"TechCorp","Search","Men 25-34","60 days","Google Ads","0.03","$7,428.00","4.72","Houston","Mandarin",556,5179,4,"Tech Enthusiasts","2021-05-26","7428.00",60
147,"TechCorp","Influencer","Men 25-34","15 days","Facebook","0.1","$11,495.00","5.13","Los Angeles","French",734,2612,5,"Health & Wellness","2021-05-27","11495.00",15
148,"TechCorp","Influencer","All Ages","30 days","Facebook","0.13","$18,957.00","2.83","Los Angeles","Spanish",643,2939,4,"Tech Enthusiasts","2021-05-28","18957.00",30
149,"NexGen Systems","Display","Men 18-24","45 days","Instagram","0.06","$10,772.00","2.94","Chicago","English",165,1496,6,"Health & Wellness","2021-05-29","10772.00",45
150,"TechCorp","Search","Women 35-44","60 days","Instagram","0.14","$6,896.00","2.15","Houston","German",693,1290,1,"Foodies","2021-05-30","6896.00",60
151,"NexGen Systems","Search","Men 18-24","60 days","Facebook","0.13","$13,318.00","2.98","New York","German",261,1415,6,"Foodies","2021-05-31","13318.00",60
152,"TechCorp","Influencer","Women 35-44","60 days","Website","0.06","$7,031.00","5.67","Houston","French",404,8033,6,"Tech Enthusiasts","2021-06-01","7031.00",60
153,"Alpha Innovations","Display","Women 35-44","15 days","Instagram","0.06","$5,466.00","2.66","Houston","English",257,5756,2,"Tech Enthusiasts","2021-06-02","5466.00",15
154,"Innovate Industries","Influencer","All Ages","30 days","Instagram","0.11","$15,303.00","7.41","Chicago","Spanish",901,8712,2,"Foodies","2021-06-03","15303.00",30
155,"TechCorp","Social Media","Women 35-44","30 days","Instagram","0.13","$13,157.00","4.41","New York","German",724,9573,6,"Fashionistas","2021-06-04","13157.00",30
156,"Innovate Industries","Influencer","All Ages","15 days","Instagram","0.07","$13,197.00","3.31","Los Angeles","French",672,8765,9,"Tech Enthusiasts","2021-06-05","13197.00",15
157,"Alpha Innovations","Display","Men 25-34","30 days","Facebook","0.09","$19,723.00","4.74","Houston","Mandarin",148,2746,8,"Outdoor Adventurers","2021-06-06","19723.00",30
158,"NexGen Systems","Display","Men 18-24","60 days","Google Ads","0.12","$18,903.00","7.24","Miami","French",488,4253,1,"Tech Enthusiasts","2021-06-07","18903.00",60
159,"Alpha Innovations","Display","Women 35-44","60 days","Website","0.06","$17,737.00","4.23","Houston","Spanish",420,8196,4,"Foodies","2021-06-08","17737.00",60
160,"DataTech Solutions","Social Media","Women 25-34","30 days","Instagram","0.08","$16,981.00","5.74","Miami","French",395,7469,6,"Foodies","2021-06-09","16981.00",30
161,"TechCorp","Search","All Ages","45 days","Website","0.05","$15,993.00","6.55","Miami","English",616,9536,8,"Fashionistas","2021-06-10","15993.00",45
162,"DataTech Solutions","Social Media","Men 18-24","30 days","YouTube","0.07","$7,893.00","5.28","Chicago","German",170,6306,9,"Foodies","2021-06-11","7893.00",30
163,"TechCorp","Email","Women 25-34","15 days","Google Ads","0.04","$9,858.00","3.09","Los Angeles","Spanish",957,4396,9,"Tech Enthusiasts","2021-06-12","9858.00",15
